Index: 264834 | Node id: 46920613 | Distance: 35770.504539 | Name:  
Index: 22668814 | Node id: 1422370776 | Distance: 36080.811533 | Name:  
Index: 19475233 | Node id: 1170456908 | Distance: 36393.315266 | Name:  
Index: 264833 | Node id: 46920603 | Distance: 36509.433014 | Name:  
Index: 22668826 | Node id: 1422370788 | Distance: 36716.978675 | Name:  
Index: 2984933 | Node id: 420200118 | Distance: 37156.351847 | Name:  
Index: 264832 | Node id: 46920597 | Distance: 37306.067693 | Name: Sitges 
Index: 2984986 | Node id: 420210359 | Distance: 37454.553328 | Name:  
Index: 2612028 | Node id: 374309863 | Distance: 37553.495779 | Name:  
Index: 2611883 | Node id: 374304785 | Distance: 37570.129592 | Name:  
Index: 2611547 | Node id: 374292155 | Distance: 37676.237744 | Name:  
Index: 264830 | Node id: 46920581 | Distance: 37795.477765 | Name:  
Index: 2612081 | Node id: 374311239 | Distance: 37905.529696 | Name:  
Index: 2612041 | Node id: 374310349 | Distance: 38071.017271 | Name:  
Index: 2612654 | Node id: 374332822 | Distance: 38122.816357 | Name:  
Index: 264831 | Node id: 46920591 | Distance: 38797.261135 | Name:  
Index: 7116998 | Node id: 663771881 | Distance: 38856.154165 | Name:  
Index: 7116997 | Node id: 663771880 | Distance: 38892.934133 | Name:  
Index: 264829 | Node id: 46920574 | Distance: 39543.188710 | Name:  
Index: 2988526 | Node id: 420376551 | Distance: 39786.930120 | Name:  
Index: 2988527 | Node id: 420376552 | Distance: 39962.612138 | Name:  
Index: 264828 | Node id: 46920562 | Distance: 40440.134117 | Name:  
Index: 2990047 | Node id: 420433401 | Distance: 40789.418817 | Name:  
Index: 264827 | Node id: 46920551 | Distance: 40997.045153 | Name:  
Index: 2990046 | Node id: 420433399 | Distance: 41324.046765 | Name:  
Index: 4029853 | Node id: 504894368 | Distance: 41793.757294 | Name:  
Index: 4029840 | Node id: 504894355 | Distance: 41984.205196 | Name:  
Index: 264826 | Node id: 46920545 | Distance: 42072.329581 | Name:  
Index: 21473431 | Node id: 1300507865 | Distance: 42147.649565 | Name:  
Index: 21473436 | Node id: 1300507870 | Distance: 42222.671929 | Name:  
Index: 4029825 | Node id: 504894339 | Distance: 42375.070274 | Name:  
Index: 4029826 | Node id: 504894340 | Distance: 42507.989410 | Name:  
